<TICKER>;<PER>;<DATE>;<TIME>;<OPEN>;<HIGH>;<LOW>;<CLOSE>;<VOL>
BZ;M;20010201;000000;26.5600000;30.9000000;24.7300000;24.7300000;0
BZ;M;20010301;000000;24.8800000;26.4600000;22.9700000;23.6300000;0
BZ;M;20010401;000000;23.8200000;27.7500000;23.0000000;27.2800000;0
BZ;M;20010501;000000;27.3000000;30.0000000;26.7200000;29.2100000;0
BZ;M;20010601;000000;29.1900000;29.6100000;25.1100000;26.4500000;0
BZ;M;20010701;000000;26.0700000;26.6600000;22.9200000;24.2500000;0
BZ;M;20010801;000000;24.6400000;27.0000000;24.3600000;26.7100000;0
BZ;M;20010901;000000;26.4900000;30.8500000;19.8200000;21.9600000;0
BZ;M;20011001;000000;21.9000000;21.9000000;19.6500000;19.7900000;0
BZ;M;20011101;000000;19.7700000;21.0900000;16.3600000;19.2900000;0
BZ;M;20011201;000000;18.5500000;20.3100000;17.2600000;19.3000000;0
BZ;M;20020101;000000;19.6000000;21.5800000;17.9400000;19.4100000;0
BZ;M;20020201;000000;19.4100000;21.8700000;19.1000000;21.0700000;0
BZ;M;20020301;000000;21.0600000;25.6000000;21.0600000;25.6000000;0
BZ;M;20020401;000000;25.6000000;27.5900000;22.1300000;27.0100000;0
BZ;M;20020501;000000;26.6600000;27.1700000;23.4900000;23.8900000;0
BZ;M;20020601;000000;23.4900000;25.4900000;22.6000000;25.4400000;0
BZ;M;20020701;000000;25.4400000;26.6700000;24.8300000;25.8500000;0
BZ;M;20020801;000000;25.8400000;28.1500000;25.1600000;27.3800000;0
BZ;M;20020901;000000;27.4300000;29.7500000;26.6400000;28.8700000;0
BZ;M;20021001;000000;28.8700000;29.4100000;25.2300000;25.6800000;0
BZ;M;20021101;000000;25.6800000;25.9300000;22.6100000;25.2000000;0
BZ;M;20021201;000000;24.9600000;32.4200000;24.9100000;29.9900000;0
BZ;M;20030101;000000;31.1300000;32.5600000;28.9700000;31.4500000;0
BZ;M;20030201;000000;31.5700000;34.4200000;30.4400000;33.9100000;0
BZ;M;20030301;000000;33.0600000;35.3300000;24.9800000;27.9800000;0
BZ;M;20030401;000000;28.1900000;28.1900000;23.0300000;23.5900000;0
BZ;M;20030501;000000;23.9100000;27.4100000;23.3700000;26.8000000;0
BZ;M;20030601;000000;26.4800000;28.8000000;26.0100000;28.1600000;0
BZ;M;20030701;000000;28.1600000;29.2700000;27.4000000;28.5900000;0
BZ;M;20030801;000000;28.5900000;30.7000000;28.5900000;30.0500000;0
BZ;M;20030901;000000;29.8000000;29.8000000;25.2400000;28.3400000;0
BZ;M;20031001;000000;28.3400000;31.8100000;27.5500000;27.9400000;0
BZ;M;20031101;000000;27.6600000;30.3600000;27.4300000;28.7600000;0
BZ;M;20031201;000000;28.7600000;31.4600000;28.1500000;30.4800000;0
BZ;M;20040101;000000;30.1200000;32.6700000;29.2900000;29.5100000;0
BZ;M;20040201;000000;29.2900000;33.0100000;28.8900000;33.0100000;0
BZ;M;20040301;000000;33.0100000;35.0700000;32.2900000;32.3600000;0
BZ;M;20040401;000000;32.3600000;35.3100000;30.9000000;35.1200000;0
BZ;M;20040501;000000;34.4700000;39.9500000;34.3700000;36.9800000;0
BZ;M;20040601;000000;38.0400000;39.4000000;32.3700000;33.5100000;0
BZ;M;20040701;000000;33.4800000;42.1900000;33.3000000;41.6000000;0
BZ;M;20040801;000000;41.3800000;46.1700000;39.2700000;39.3300000;0
BZ;M;20040901;000000;39.3800000;47.9000000;39.3800000;47.0800000;0
BZ;M;20041001;000000;47.0600000;52.3900000;46.2400000;48.7800000;0
BZ;M;20041101;000000;49.0200000;49.4200000;39.0300000;44.0300000;0
BZ;M;20041201;000000;43.7400000;43.8800000;35.7100000;40.2400000;0
BZ;M;20050101;000000;40.2400000;47.0900000;38.7400000;45.8700000;0
BZ;M;20050201;000000;45.4200000;50.2800000;41.6000000;50.1400000;0
BZ;M;20050301;000000;50.1200000;56.3300000;49.2800000;53.0500000;0
