<TICKER>;<PER>;<DATE>;<TIME>;<OPEN>;<HIGH>;<LOW>;<CLOSE>;<VOL>
EURRUB;M;20010201;000000;26.7865000;27.0124000;25.8947000;26.3731000;0
EURRUB;M;20010301;000000;26.4970000;26.8857000;25.2590000;25.2731000;0
EURRUB;M;20010401;000000;25.2587000;26.2452000;25.2245000;25.5490000;0
EURRUB;M;20010501;000000;25.6629000;26.0838000;24.6672000;24.5440000;0
EURRUB;M;20010601;000000;24.6223000;25.2716000;24.5394000;24.5130000;0
EURRUB;M;20010701;000000;24.6922000;25.8035000;24.3431000;25.6827000;0
EURRUB;M;20010801;000000;25.8080000;27.1303000;24.6400000;26.7253000;0
EURRUB;M;20010901;000000;26.7420000;27.4756000;26.0179000;26.7991000;0
EURRUB;M;20011001;000000;26.8090000;27.2580000;26.2400000;26.7400000;0
EURRUB;M;20011101;000000;26.7400000;27.1300000;26.1156000;26.8100000;0
EURRUB;M;20011201;000000;26.8000000;27.6312000;26.4200000;27.1600000;0
EURRUB;M;20020101;000000;27.1320000;27.7059000;26.2600000;26.3300000;0
EURRUB;M;20020201;000000;26.3700000;27.1620000;26.3400000;26.8800000;0
EURRUB;M;20020301;000000;26.9400000;27.6140000;26.7900000;27.1900000;0
EURRUB;M;20020401;000000;27.1900000;28.2610000;27.1900000;28.1100000;0
EURRUB;M;20020501;000000;28.1100000;29.4800000;28.1000000;29.2400000;0
EURRUB;M;20020601;000000;29.2200000;31.4700000;29.1700000;31.2200000;0
EURRUB;M;20020701;000000;31.2100000;32.1800000;30.6580000;30.7800000;0
EURRUB;M;20020801;000000;30.8000000;31.3000000;30.3900000;31.0000000;0
EURRUB;M;20020901;000000;30.5600000;31.6100000;29.9800000;31.2800000;0
EURRUB;M;20021001;000000;31.2800000;31.6430000;30.1300000;31.4900000;0
EURRUB;M;20021101;000000;31.4900000;32.5360000;30.3660000;31.6370000;0
EURRUB;M;20021201;000000;31.6370000;33.5900000;31.2640000;33.5000000;0
EURRUB;M;20030101;000000;33.4900000;34.7000000;33.0000000;34.2700000;0
EURRUB;M;20030201;000000;34.2600000;34.8310000;33.6700000;34.0800000;0
EURRUB;M;20030301;000000;34.1100000;34.9000000;33.1000000;34.2500000;0
EURRUB;M;20030401;000000;34.2200000;34.7900000;33.0520000;34.7700000;0
EURRUB;M;20030501;000000;34.7900000;36.6300000;34.7100000;36.1500000;0
EURRUB;M;20030601;000000;36.0600000;36.3730000;34.6000000;34.9300000;0
EURRUB;M;20030701;000000;34.9500000;35.1400000;33.9100000;33.9800000;0
EURRUB;M;20030801;000000;33.9600000;34.6300000;32.7800000;33.5000000;0
EURRUB;M;20030901;000000;33.5100000;35.8700000;32.9400000;35.6500000;0
EURRUB;M;20031001;000000;35.6300000;35.9460000;34.6700000;34.7100000;0
EURRUB;M;20031101;000000;34.7200000;35.7150000;33.9200000;35.6400000;0
EURRUB;M;20031201;000000;35.6500000;36.9600000;35.4810000;36.7900000;0
EURRUB;M;20040101;000000;36.8100000;37.4200000;35.2200000;35.5700000;0
EURRUB;M;20040201;000000;35.5800000;36.8000000;35.2900000;35.6100000;0
EURRUB;M;20040301;000000;35.6300000;35.7500000;34.4100000;35.1200000;0
EURRUB;M;20040401;000000;34.8730000;35.3100000;33.9900000;34.7400000;0
EURRUB;M;20040501;000000;34.7600000;35.6580000;34.1640000;35.3200000;0
EURRUB;M;20040601;000000;35.3300000;35.8700000;34.7100000;35.4200000;0
EURRUB;M;20040701;000000;35.4000000;36.2400000;34.9100000;34.9500000;0
EURRUB;M;20040801;000000;34.9500000;36.2100000;34.9380000;35.6100000;0
EURRUB;M;20040901;000000;35.1100000;36.3500000;35.1100000;36.3200000;0
EURRUB;M;20041001;000000;36.3200000;37.0500000;35.6180000;36.7400000;0
EURRUB;M;20041101;000000;36.7600000;37.7300000;36.4700000;37.3500000;0
EURRUB;M;20041201;000000;37.3400000;37.9600000;36.8300000;37.5600000;0
EURRUB;M;20050101;000000;37.5600000;37.6300000;36.1800000;36.5150000;0
EURRUB;M;20050201;000000;36.5300000;36.8800000;35.8400000;36.5940000;0
EURRUB;M;20050301;000000;36.5960000;37.0400000;35.7300000;36.1270000;0
EURRUB;M;20050401;000000;36.1210000;36.3600000;35.6200000;35.7500000;0
EURRUB;M;20050501;000000;35.7670000;36.0920000;34.7300000;34.7200000;0
EURRUB;M;20050601;000000;34.7510000;35.0410000;34.2200000;34.6340000;0
EURRUB;M;20050701;000000;34.6150000;35.0340000;34.0900000;34.7170000;0
EURRUB;M;20050801;000000;34.8340000;35.4900000;34.6300000;35.1500000;0
EURRUB;M;20050901;000000;35.1500000;35.6160000;34.2330000;34.3220000;0
EURRUB;M;20051001;000000;34.1200000;34.7400000;34.0760000;34.2460000;0
EURRUB;M;20051101;000000;34.2090000;34.5550000;33.6000000;33.9540000;0
EURRUB;M;20051201;000000;33.9460000;34.5330000;33.7530000;34.0330000;0
EURRUB;M;20060101;000000;34.0200000;34.9950000;33.8710000;34.1850000;0
EURRUB;M;20060201;000000;34.1770000;34.2230000;33.2990000;33.4140000;0
EURRUB;M;20060301;000000;33.4860000;33.7470000;33.2170000;33.5620000;0
EURRUB;M;20060401;000000;33.3660000;34.4060000;33.3660000;34.4060000;0
EURRUB;M;20060501;000000;34.4030000;34.8430000;34.2250000;34.6300000;0
EURRUB;M;20060601;000000;34.5350000;34.7480000;33.8800000;34.3140000;0
EURRUB;M;20060701;000000;34.3080000;34.4800000;33.7600000;34.2230000;0
EURRUB;M;20060801;000000;34.1930000;34.4760000;34.1190000;34.2660000;0
EURRUB;M;20060901;000000;34.2480000;34.4090000;33.8310000;33.9570000;0
EURRUB;M;20061001;000000;33.9490000;34.1200000;33.7010000;34.0200000;0
EURRUB;M;20061101;000000;34.0090000;34.8100000;33.8600000;34.7780000;0
EURRUB;M;20061201;000000;34.8000000;34.9260000;34.1810000;34.7430000;0
EURRUB;M;20070101;000000;34.7210000;34.9650000;34.1810000;34.4280000;0
