<TICKER>;<PER>;<DATE>;<TIME>;<OPEN>;<HIGH>;<LOW>;<CLOSE>;<VOL>
USDRUB;M;20010201;000000;28.4700000;28.7850000;28.4560000;28.4200000;0
USDRUB;M;20010301;000000;28.6580000;28.7890000;28.4200000;28.5400000;0
USDRUB;M;20010401;000000;28.7890000;28.9400000;28.7890000;28.6900000;0
USDRUB;M;20010501;000000;28.8370000;29.1700000;28.8370000;28.9200000;0
USDRUB;M;20010601;000000;28.9200000;29.1800000;28.8600000;28.9000000;0
USDRUB;M;20010701;000000;28.9000000;29.3400000;28.8900000;29.1000000;0
USDRUB;M;20010801;000000;29.1000000;29.4500000;29.0700000;29.1700000;0
USDRUB;M;20010901;000000;29.4540000;29.4800000;28.4800000;29.2200000;0
USDRUB;M;20011001;000000;29.4350000;29.7300000;28.0100000;29.7100000;0
USDRUB;M;20011101;000000;29.7300000;30.0200000;29.4800000;29.9300000;0
USDRUB;M;20011201;000000;29.6900000;30.8000000;29.6900000;30.2000000;0
USDRUB;M;20020101;000000;30.2500000;30.7400000;30.2100000;30.7000000;0
USDRUB;M;20020201;000000;30.7200000;31.0200000;30.5000000;30.9600000;0
USDRUB;M;20020301;000000;30.7100000;31.2200000;30.7100000;31.1100000;0
USDRUB;M;20020401;000000;31.2300000;31.2700000;30.9200000;31.2400000;0
USDRUB;M;20020501;000000;31.0800000;31.3500000;30.9900000;31.3300000;0
USDRUB;M;20020601;000000;31.0900000;31.5200000;31.0900000;31.5100000;0
USDRUB;M;20020701;000000;31.5200000;31.7200000;31.2600000;31.5300000;0
USDRUB;M;20020801;000000;31.2800000;31.6400000;31.2800000;31.6000000;0
USDRUB;M;20020901;000000;31.3600000;31.7200000;31.3600000;31.7100000;0
USDRUB;M;20021001;000000;31.7300000;32.0600000;31.4300000;31.7500000;0
USDRUB;M;20021101;000000;31.7900000;32.1300000;31.5400000;31.8500000;0
USDRUB;M;20021201;000000;31.6000000;32.3700000;31.3600000;31.9300000;0
USDRUB;M;20030101;000000;31.7700000;31.9800000;31.1900000;31.8400000;0
USDRUB;M;20030201;000000;31.8400000;31.8700000;31.3700000;31.5600000;0
USDRUB;M;20030301;000000;31.5700000;31.8600000;31.3600000;31.3600000;0
USDRUB;M;20030401;000000;31.3800000;31.3800000;31.0900000;31.1100000;0
USDRUB;M;20030501;000000;31.0900000;31.1200000;30.6100000;30.6900000;0
USDRUB;M;20030601;000000;30.6300000;30.7600000;30.3000000;30.1900000;0
USDRUB;M;20030701;000000;30.3400000;30.5600000;30.2400000;30.2600000;0
USDRUB;M;20030801;000000;30.2600000;30.5400000;30.2600000;30.5000000;0
USDRUB;M;20030901;000000;30.5100000;30.7400000;30.4000000;30.4300000;0
USDRUB;M;20031001;000000;30.5600000;30.5700000;29.8100000;29.9500000;0
USDRUB;M;20031101;000000;29.9300000;29.9600000;29.6600000;29.7300000;0
USDRUB;M;20031201;000000;29.7400000;29.7400000;29.1500000;29.2300000;0
USDRUB;M;20040101;000000;29.2500000;29.2600000;28.4600000;28.5300000;0
USDRUB;M;20040201;000000;28.5100000;28.6800000;28.4100000;28.5100000;0
USDRUB;M;20040301;000000;28.5000000;28.7100000;28.4800000;28.5100000;0
USDRUB;M;20040401;000000;28.5100000;29.0200000;28.5100000;29.0000000;0
USDRUB;M;20040501;000000;29.0100000;29.0900000;28.8600000;28.9800000;0
USDRUB;M;20040601;000000;29.0000000;29.0900000;29.0000000;29.0100000;0
USDRUB;M;20040701;000000;29.0600000;29.1400000;28.9800000;29.0700000;0
USDRUB;M;20040801;000000;29.1000000;29.2700000;29.0900000;29.2500000;0
USDRUB;M;20040901;000000;29.2200000;29.2500000;29.2000000;29.2100000;0
USDRUB;M;20041001;000000;29.2100000;29.2200000;28.7200000;28.7400000;0
USDRUB;M;20041101;000000;28.7300000;28.7900000;28.1400000;28.1200000;0
USDRUB;M;20041201;000000;28.1300000;28.1600000;27.7300000;27.7200000;0
USDRUB;M;20050101;000000;27.7100000;28.1800000;27.7100000;28.0100000;0
USDRUB;M;20050201;000000;28.0200000;28.2100000;27.6700000;27.9900000;0
USDRUB;M;20050301;000000;27.6800000;27.9000000;27.4400000;27.8500000;0
USDRUB;M;20050401;000000;27.8800000;27.9400000;27.7000000;27.8900000;0
USDRUB;M;20050501;000000;27.8900000;28.2600000;27.7800000;28.2600000;0
USDRUB;M;20050601;000000;28.2500000;28.6900000;28.0110000;28.6000000;0
USDRUB;M;20050701;000000;28.6600000;28.8430000;28.5640000;28.6110000;0
USDRUB;M;20050801;000000;28.5850000;28.6240000;28.3050000;28.4870000;0
USDRUB;M;20050901;000000;28.5500000;28.5680000;28.1350000;28.4800000;0
USDRUB;M;20051001;000000;28.5780000;28.6970000;28.4020000;28.5050000;0
USDRUB;M;20051101;000000;28.5650000;28.9250000;28.5380000;28.7960000;0
USDRUB;M;20051201;000000;28.8070000;29.0040000;28.6180000;28.7300000;0
USDRUB;M;20060101;000000;28.7410000;28.7410000;27.9080000;28.1200000;0
USDRUB;M;20060201;000000;28.0830000;28.3370000;28.0320000;28.0240000;0
USDRUB;M;20060301;000000;28.0310000;28.0650000;27.6400000;27.7150000;0
USDRUB;M;20060401;000000;27.7560000;27.7600000;27.2250000;27.2510000;0
USDRUB;M;20060501;000000;27.2460000;27.2880000;26.8850000;26.9780000;0
USDRUB;M;20060601;000000;27.0220000;27.1400000;26.6780000;26.8580000;0
USDRUB;M;20060701;000000;26.8490000;27.0900000;26.7620000;26.8010000;0
USDRUB;M;20060801;000000;26.8170000;26.8450000;26.6380000;26.7440000;0
USDRUB;M;20060901;000000;26.7570000;26.8400000;26.6330000;26.7750000;0
USDRUB;M;20061001;000000;26.8090000;27.0020000;26.6940000;26.6990000;0
USDRUB;M;20061101;000000;26.7060000;26.7780000;26.2350000;26.2350000;0
USDRUB;M;20061201;000000;26.2430000;26.4530000;26.1470000;26.3200000;0
USDRUB;M;20070101;000000;26.3100000;26.6210000;26.2940000;26.4840000;0
USDRUB;M;20070201;000000;26.4710000;26.6420000;26.0910000;26.1320000;0
USDRUB;M;20070301;000000;26.1180000;26.2830000;25.9170000;25.9650000;0
USDRUB;M;20070401;000000;25.9910000;26.0130000;25.6490000;25.6700000;0
USDRUB;M;20070501;000000;25.6930000;25.9330000;25.6700000;25.8840000;0
USDRUB;M;20070601;000000;25.8830000;26.2520000;25.7400000;25.7480000;0
USDRUB;M;20070701;000000;25.7210000;25.7800000;25.3740000;25.5340000;0
USDRUB;M;20070801;000000;25.5770000;25.9190000;25.3130000;25.6300000;0
USDRUB;M;20070901;000000;25.6420000;25.7280000;24.8500000;24.8500000;0
USDRUB;M;20071001;000000;24.8500000;25.0840000;24.6424000;24.6734000;0
USDRUB;M;20071101;000000;24.6734000;24.7250000;24.2317000;24.4610000;0
USDRUB;M;20071201;000000;24.4610000;24.7970000;24.3818000;24.5650000;0
USDRUB;M;20080101;000000;24.5650000;24.9275000;24.2504000;24.4503000;0
USDRUB;M;20080201;000000;24.4503000;24.8193000;23.9566000;24.0170000;0
USDRUB;M;20080301;000000;24.0170000;24.0677000;23.3744000;23.4950000;0
USDRUB;M;20080401;000000;23.4950000;23.7169000;23.2952000;23.6747000;0
USDRUB;M;20080501;000000;23.6747000;23.9200000;23.4850000;23.6905000;0
USDRUB;M;20080601;000000;23.6905000;23.8536000;23.3728000;23.4791000;0
USDRUB;M;20080701;000000;23.4791000;23.5841000;23.0614000;23.4290000;0
USDRUB;M;20080801;000000;23.4300000;24.7584000;23.3527000;24.5890000;0
USDRUB;M;20080901;000000;24.6764000;25.8533000;24.6400000;25.6450000;0
USDRUB;M;20081001;000000;25.6380000;27.4784000;25.5730000;27.0720000;0
USDRUB;M;20081101;000000;27.0490000;27.9580000;26.6570000;27.9580000;0
USDRUB;M;20081201;000000;27.9440000;29.4330000;27.1580000;29.4000000;0
USDRUB;M;20090101;000000;29.4010000;35.8310000;29.1400000;35.8050000;0
USDRUB;M;20090201;000000;35.8050000;36.5260000;34.4569000;35.8800000;0
USDRUB;M;20090301;000000;35.8800000;36.3290000;33.1360000;33.9750000;0
USDRUB;M;20090401;000000;33.9750000;34.2280000;32.9240000;33.0810000;97
USDRUB;M;20090501;000000;33.0990000;33.1210000;30.7730000;30.8530000;745
USDRUB;M;20090601;000000;30.7350000;31.6130000;30.4810000;31.1690000;0
USDRUB;M;20090701;000000;31.1530000;33.0750000;30.6150000;31.3920000;0
USDRUB;M;20090801;000000;31.4750000;32.8990000;30.9240000;31.7650000;0
USDRUB;M;20090901;000000;31.7970000;32.1060000;29.9320000;30.0320000;342
USDRUB;M;20091001;000000;30.0430000;30.2550000;28.8690000;29.1510000;0
USDRUB;M;20091101;000000;29.1570000;29.9130000;28.6020000;29.2350000;245
USDRUB;M;20091201;000000;29.2350000;30.8895000;29.0130000;30.1710000;210
USDRUB;M;20100101;000000;30.1740000;30.4780000;29.2695000;30.4080000;0
USDRUB;M;20100201;000000;30.3650000;30.5770000;29.8083000;30.0000000;0
USDRUB;M;20100301;000000;29.9160000;30.0510000;29.1110000;29.4320000;0
USDRUB;M;20100401;000000;29.4355000;29.4810000;28.8947000;29.1965000;0
USDRUB;M;20100501;000000;29.2080000;31.6791000;29.1650000;30.8790000;0
USDRUB;M;20100601;000000;30.8795000;31.9413000;30.6771000;31.2600000;0
USDRUB;M;20100701;000000;31.2700000;31.4000000;30.0800000;30.2700000;3372
USDRUB;M;20100801;000000;30.2500000;30.9800000;29.6600000;30.8400000;0
USDRUB;M;20100901;000000;30.8500000;31.3700000;30.3500000;30.5800000;0
USDRUB;M;20101001;000000;30.5800000;30.9000000;29.5700000;30.7400000;0
USDRUB;M;20101101;000000;30.8400000;31.5500000;30.3400000;31.5200000;0
USDRUB;M;20101201;000000;31.5400000;31.5700000;30.1800000;30.5700000;633
USDRUB;M;20110101;000000;30.5800000;30.7700000;29.5500000;29.8000000;0
USDRUB;M;20110201;000000;29.7900000;29.8100000;28.7700000;28.8500000;0
USDRUB;M;20110301;000000;28.8700000;28.9500000;28.0900000;28.4200000;0
